doc_Num,Statement,Reaction
1,"“One of the things that we did very early and very aggressively, the president put the travel restriction coming from China to the United States and most recently from Europe to the United States because Europe is really the new China.",Positive
2,"But Los Angeles has a similar profile with its massive tent encampments on Skid Row, for example. Will the sloth exhibited by California’s Democrat politicians in dealing with the homeless crisis over the past decade be the death knell for the City of Angels?",Negative
3,"Interesting that the “target” demographic for the WuhanCoronaVirus is the elderly population, which skews Republican in the US. When millennials cruelly joke the virus is “boomer removal,” they may have stumbled onto something. The Chinese certainly don’t want Trump re-elected.",Negative
4,Those Chinese people who intentionally spread WuhanCoronaVirus in the U.S. are committing bioterrorism and should be charged as terrorists.,Negative
5,We are in the middle of an international pandemic and the Democrats’ lead candidate has literally disappeared from the face of the earth. Is this a preview of how he would lead. It’s truly terrifying. “Joe!” ,Negative
6,"FACT: The CCP's cover-up of WuhanCoronaVirus in #China led to 20k+ deaths worldwide to date. Days before Wuhan lockdown, Director of Wuhan CDC said: ""Infectivity of this coronavirus is not high"", ""It's preventable and controllable"" We must hold the CCP accountable.",Negative
7,"Appreciate Germany for backing up Taiwan as a country role model against ChineseVirus. Especially, many thanks go to  Rep. Sandra Maria Bubendorfer and MPs of Parliament. High Five and Danke euch allen!",Positive
8, Thanks HawleyMO for introducing this Senate resolution calling for an international investigation into CCP's cover,Positive
9,"Father Giuseppe Berardelli was confirmed with WuhanCoronavirus. Despite the need of ventilator, he gave it up and gave it to a youngster who is also a diagnosed with coronavirus. Father passed away earlier.",Positive
10,"I am still shocked that we report the extensive PPE worn by the Chinese team as more that is necessary. They had 0 infected with this. If I am the one inside damn right I want more than adequate. It's the same reason that I drive at 30, in a 5* safety rated car with a seatbelt.",Positive
11,"If you want to provide the best care to patients, you need to make doctors, nurses, techs, pharmacists feel safe. The main propaganda I worry about is that the US’s poor planning is “fine.”",Negative
12,"I feel happy for RickyWong, the chairman of HKTVMall that they’ve set up the production line to manufacturing face masks in HongKong amid WuhanCoronaVirus outbreak. The line could provide 60-100 thousand of masks to the market per day, each mask cost only HKD$ 2.",Positive
13,"A HongKong female police, who infected with WuhanCoronaVirus, rejected to wearing mask in Caritas Medical Centre. She caused 2 nurses became close contacts, enhanced their opportunity of infecting the virus.",Negative
14,"We express our deep condolences to the family of Dilek Tahtali. A first Turkish medical professional , who died from #ChineseVirus. May God accept her beautiful souls and great service to her nation.",Negative
15,"China and Cuba have proven that medical diplomacy works. If the US had a capable leader, we’d be mass producing medical supplies, and donating them to countries hit hardest. But we have Trump, so we’re just calling it the ChineseVirus.",Negative
16,Beware of Liberal Billionaires bringing money. They want power. President Trump wants a better America. Asnk Soros or Bloomberg or Steyer or Bezos or any tech Billionaire how much they have donated to the virus fight.,Negative
17,"Another doctor, this time in Canada, pipes up about reversing extreme quarantine measures, and still being able to beat it down ",Negative
18,DOH Secretary Francisco Duque must resign. WHO Director-General Tedros Adhanom must resign. They must resign for their shameless dereliction of duty and conflict of interest. ,Negative
19,The GPS hand belt used in Taiwan is very advanced and can trace the people under quarantine effectively. https://youtu.be/32wouMR77tk Watch from 6:08. I wonder why the similar ones used in HK are so backward. ,Negative
